ID,Is_Product_Details_viewed,Session_Activity_Count,No_Items_Added_InCart,No_Items_Removed_FromCart,No_Cart_Viewed,No_Checkout_Confirmed,No_Checkout_Initiated,No_Cart_Items_Viewed,No_Customer_Login,No_Page_Viewed,Customer_Segment_Type,Cart_Abandoned,Checkout_Conversion_Rate,Browsing_Intensity
Session_ID_38,0,26,5.0,4,8.0,0,2,5,1,1,2,1,0.0,0.037037037037037035
Session_ID_39,0,8,1.0,0,0.0,0,4,1,0,2,0,1,0.0,0.2222222222222222
Session_ID_40,0,7,1.0,0,1.0,0,2,0,1,2,0,1,0.0,0.25
Session_ID_41,0,5,1.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_42,0,16,1.0,0,1.0,0,0,6,0,2,0,1,0.0,0.11764705882352941
Session_ID_43,1,3,1.0,0,1.0,0,0,0,0,1,0,1,0.0,0.25
Session_ID_44,0,33,3.0,0,9.0,1,4,13,0,0,1,0,0.2,0.0
Session_ID_45,0,1,0.0,0,1.0,0,0,0,0,0,0,1,0.0,0.0
Session_ID_46,0,38,13.0,0,5.0,1,0,13,0,1,1,0,1.0,0.02564102564102564
Session_ID_47,0,5,1.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_48,1,12,7.0,0,1.0,0,0,3,0,0,1,1,0.0,0.0
Session_ID_49,0,5,1.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_50,1,4,2.0,0,0.0,0,0,1,0,1,0,1,0.0,0.2
Session_ID_51,0,19,5.0,3,2.0,0,1,2,1,2,2,1,0.0,0.1
Session_ID_52,1,19,3.0,1,0.0,0,0,3,0,7,1,1,0.0,0.35
Session_ID_53,1,10,0.0,0,3.0,0,0,1,0,3,0,1,0.0,0.2727272727272727
Session_ID_54,0,9,3.0,0,1.0,0,1,1,0,3,1,1,0.0,0.3
Session_ID_55,0,10,1.0,0,3.0,1,2,0,0,3,0,0,0.3333333333333333,0.2727272727272727
Session_ID_56,0,9,1.0,0,4.0,0,0,3,0,0,0,1,0.0,0.0
Session_ID_57,0,6,1.0,0,2.0,0,1,0,0,2,0,1,0.0,0.2857142857142857
Session_ID_58,1,18,8.0,0,0.0,0,0,1,0,8,1,1,0.0,0.42105263157894735
Session_ID_59,0,8,4.0,0,0.0,0,1,1,0,2,1,1,0.0,0.2222222222222222
Session_ID_60,1,6,2.0,0,0.0,0,0,2,0,0,0,1,0.0,0.0
Session_ID_61,0,6,1.0,0,2.0,0,1,0,0,2,0,1,0.0,0.2857142857142857
Session_ID_62,0,15,3.0,0,6.0,0,0,5,0,1,1,1,0.0,0.0625
Session_ID_63,0,12,1.0,0,0.0,0,0,1,0,4,0,1,0.0,0.3076923076923077
Session_ID_64,0,7,3.0,0,0.0,0,1,1,0,2,1,1,0.0,0.25
Session_ID_65,0,29,4.0,0,1.0,1,1,1,0,10,1,0,0.5,0.3333333333333333
Session_ID_66,0,10,3.0,0,4.0,0,1,0,0,2,1,1,0.0,0.18181818181818182
Session_ID_67,1,8,3.0,2,0.0,0,0,0,0,1,2,1,0.0,0.1111111111111111
Session_ID_68,1,34,26.0,5,0.0,0,0,1,0,1,2,1,0.0,0.02857142857142857
Session_ID_69,0,8,0.0,0,3.0,0,0,2,0,3,0,1,0.0,0.3333333333333333
Session_ID_70,1,46,12.0,0,4.0,0,1,3,0,19,1,1,0.0,0.40425531914893614
Session_ID_71,0,31,7.0,2,0.0,0,2,9,0,5,2,1,0.0,0.15625
Session_ID_72,1,8,4.0,0,1.0,0,0,0,0,2,1,1,0.0,0.2222222222222222
Session_ID_73,0,18,3.0,2,3.0,1,1,3,1,3,2,0,0.5,0.15789473684210525
Session_ID_74,0,6,1.0,0,0.0,0,1,1,1,2,0,1,0.0,0.2857142857142857
Session_ID_75,0,14,3.0,4,0.0,1,1,1,1,2,2,0,0.5,0.13333333333333333
Session_ID_76,0,17,2.0,0,1.0,0,0,5,0,0,0,1,0.0,0.0
Session_ID_77,1,6,2.0,0,0.0,0,0,1,0,2,0,1,0.0,0.2857142857142857
Session_ID_78,1,23,9.0,2,4.0,0,0,2,0,5,2,1,0.0,0.20833333333333334
Session_ID_79,0,9,2.0,0,1.0,0,0,3,0,1,0,1,0.0,0.1
Session_ID_80,0,13,3.0,2,3.0,0,1,1,0,3,2,1,0.0,0.21428571428571427
Session_ID_81,0,42,8.0,2,5.0,1,1,3,1,14,2,0,0.5,0.32558139534883723
Session_ID_82,1,5,2.0,0,1.0,0,0,1,0,0,0,1,0.0,0.0
Session_ID_83,0,10,0.0,0,1.0,1,2,1,0,3,0,0,0.3333333333333333,0.2727272727272727
Session_ID_84,0,3,0.0,0,2.0,0,0,0,0,1,0,1,0.0,0.25
Session_ID_85,1,3,1.0,0,0.0,0,0,2,0,0,0,1,0.0,0.0
Session_ID_86,0,23,3.0,1,5.0,0,0,5,0,6,1,1,0.0,0.25
Session_ID_87,0,46,0.0,0,3.0,0,1,1,0,9,0,1,0.0,0.19148936170212766
Session_ID_88,0,53,0.0,0,7.0,1,14,31,0,0,0,0,0.06666666666666667,0.0
Session_ID_89,0,36,3.0,0,14.0,0,7,10,0,2,1,1,0.0,0.05405405405405406
Session_ID_90,0,8,2.0,0,0.0,0,1,2,0,3,0,1,0.0,0.3333333333333333
Session_ID_91,0,5,0.0,0,2.0,0,0,3,0,0,0,1,0.0,0.0
Session_ID_92,1,9,4.0,0,3.0,0,0,1,0,0,1,1,0.0,0.0
Session_ID_93,1,32,11.0,0,3.0,0,1,5,0,11,1,1,0.0,0.3333333333333333
Session_ID_94,1,4,1.0,0,0.0,0,0,0,0,1,0,1,0.0,0.2
Session_ID_95,0,17,6.0,1,3.0,1,1,2,1,2,1,0,0.5,0.1111111111111111
Session_ID_96,1,4,1.0,2,0.0,0,0,0,0,0,0,1,0.0,0.0
Session_ID_97,1,36,5.0,0,7.0,0,3,20,0,1,1,1,0.0,0.02702702702702703
Session_ID_98,0,2,0.0,0,2.0,0,0,0,0,0,0,1,0.0,0.0
Session_ID_99,1,7,1.0,4,1.0,0,0,0,0,1,2,1,0.0,0.125
Session_ID_100,0,22,3.0,2,8.0,0,1,2,0,6,2,1,0.0,0.2608695652173913
Session_ID_101,1,5,1.0,2,1.0,0,0,0,0,1,0,1,0.0,0.16666666666666666
Session_ID_102,0,2,0.0,0,1.0,0,0,0,0,1,0,1,0.0,0.3333333333333333
Session_ID_103,1,13,1.0,0,0.0,0,1,0,0,2,0,1,0.0,0.14285714285714285
Session_ID_104,0,5,0.0,0,1.0,0,0,1,0,1,0,1,0.0,0.16666666666666666
Session_ID_105,1,8,2.0,0,2.0,0,1,1,0,2,0,1,0.0,0.2222222222222222
Session_ID_106,0,5,1.0,0,0.0,0,0,2,0,1,0,1,0.0,0.16666666666666666
Session_ID_107,0,94,8.0,2,3.0,1,2,1,1,5,2,0,0.3333333333333333,0.05263157894736842
Session_ID_108,0,7,0.0,0,0.0,1,2,0,1,3,0,0,0.3333333333333333,0.375
Session_ID_109,0,6,3.0,1,0.0,0,0,0,0,0,1,1,0.0,0.0
Session_ID_110,0,42,31.0,0,2.0,0,1,7,0,1,1,1,0.0,0.023255813953488372
Session_ID_111,1,3,1.0,0,1.0,0,0,0,0,0,0,1,0.0,0.0
Session_ID_112,0,1,0.0,0,1.0,0,0,0,0,0,0,1,0.0,0.0
Session_ID_113,0,5,1.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_114,0,5,1.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_115,0,13,6.0,0,2.0,0,1,3,0,1,1,1,0.0,0.07142857142857142
Session_ID_116,1,16,14.0,0,0.0,0,0,0,0,2,1,1,0.0,0.11764705882352941
Session_ID_117,0,15,5.0,1,1.0,1,1,3,1,2,1,1,0.5,0.125
Session_ID_118,0,10,4.0,0,0.0,1,1,1,1,1,1,0,0.5,0.09090909090909091
Session_ID_119,0,5,0.0,0,0.0,0,1,0,1,3,0,1,0.0,0.5
Session_ID_120,0,10,2.0,0,2.0,0,2,4,0,0,0,1,0.0,0.0
Session_ID_121,1,4,1.0,0,0.0,0,0,1,0,1,0,1,0.0,0.2
Session_ID_122,0,20,13.0,0,2.0,0,1,1,0,3,1,1,0.0,0.14285714285714285
Session_ID_123,1,3,1.0,0,1.0,0,0,1,0,0,0,1,0.0,0.0
Session_ID_124,0,25,2.0,0,1.0,0,1,20,0,0,0,1,0.0,0.0
Session_ID_125,1,20,7.0,2,0.0,0,0,7,0,3,2,1,0.0,0.14285714285714285
Session_ID_126,0,7,1.0,0,1.0,0,0,5,0,0,0,1,0.0,0.0
Session_ID_127,0,21,9.0,0,8.0,0,0,3,0,1,1,1,0.0,0.045454545454545456
Session_ID_128,0,14,2.0,0,6.0,1,2,0,0,3,0,0,0.3333333333333333,0.2
Session_ID_129,1,32,10.0,9,2.0,0,0,1,0,6,2,1,0.0,0.18181818181818182
Session_ID_130,0,1,0.0,0,1.0,0,0,0,0,0,0,1,0.0,0.0
Session_ID_131,1,17,0.0,0,1.0,0,0,1,0,2,0,1,0.0,0.1111111111111111
Session_ID_132,0,15,3.0,3,1.0,0,0,2,0,4,2,1,0.0,0.25
Session_ID_133,0,10,6.0,0,0.0,0,1,1,0,2,1,1,0.0,0.18181818181818182
Session_ID_134,0,18,4.0,0,2.0,1,1,4,0,1,1,0,0.5,0.05263157894736842
Session_ID_135,0,21,0.0,0,3.0,0,1,1,0,5,0,1,0.0,0.22727272727272727
Session_ID_136,0,9,3.0,0,2.0,0,1,1,0,2,1,1,0.0,0.2
Session_ID_137,1,28,12.0,5,2.0,0,0,3,0,3,2,1,0.0,0.10344827586206896
Session_ID_138,0,11,0.0,0,2.0,2,5,2,0,0,0,0,0.3333333333333333,0.0
Session_ID_139,0,6,0.0,0,3.0,0,1,0,0,2,0,1,0.0,0.2857142857142857
Session_ID_140,0,7,3.0,0,0.0,0,1,1,0,2,1,1,0.0,0.25
Session_ID_141,0,4,0.0,0,1.0,0,3,0,0,0,0,1,0.0,0.0
Session_ID_142,0,9,3.0,1,1.0,0,1,1,0,2,1,1,0.0,0.2
Session_ID_143,1,5,1.0,0,0.0,0,0,2,0,1,0,1,0.0,0.16666666666666666
Session_ID_144,0,34,9.0,10,7.0,0,0,3,0,4,2,1,0.0,0.11428571428571428
Session_ID_145,0,25,15.0,0,1.0,0,1,3,1,4,1,1,0.0,0.15384615384615385
Session_ID_146,0,10,4.0,1,1.0,0,1,1,0,2,1,1,0.0,0.18181818181818182
Session_ID_147,0,5,1.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_148,0,12,4.0,0,1.0,0,0,3,0,1,1,1,0.0,0.07692307692307693
Session_ID_149,0,23,2.0,4,3.0,1,3,1,0,9,2,0,0.25,0.375
Session_ID_150,1,7,1.0,0,0.0,0,0,2,0,1,0,1,0.0,0.125
Session_ID_151,1,2,0.0,0,0.0,0,0,0,0,1,0,1,0.0,0.3333333333333333
Session_ID_152,0,1,0.0,0,0.0,0,1,0,0,0,0,1,0.0,0.0
Session_ID_153,1,7,3.0,0,1.0,0,1,0,0,2,1,1,0.0,0.25
Session_ID_154,0,31,10.0,13,2.0,0,1,1,1,2,2,1,0.0,0.0625
Session_ID_155,0,10,3.0,0,1.0,0,1,2,0,2,1,1,0.0,0.18181818181818182
Session_ID_156,0,8,1.0,1,2.0,0,1,0,1,2,0,1,0.0,0.2222222222222222
Session_ID_157,0,7,0.0,0,0.0,0,0,1,0,3,0,1,0.0,0.375
Session_ID_158,0,21,12.0,0,3.0,0,0,5,0,0,1,1,0.0,0.0
Session_ID_159,1,32,17.0,10,1.0,0,0,2,0,1,2,1,0.0,0.030303030303030304
Session_ID_160,0,3,0.0,0,1.0,0,0,2,0,0,0,1,0.0,0.0
Session_ID_161,0,5,1.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_162,0,4,0.0,0,1.0,0,1,0,0,2,0,1,0.0,0.4
Session_ID_163,1,10,2.0,0,0.0,0,1,1,0,0,0,1,0.0,0.0
Session_ID_164,0,10,4.0,0,1.0,0,1,2,0,1,1,1,0.0,0.09090909090909091
Session_ID_165,1,11,3.0,0,1.0,0,1,2,0,3,1,1,0.0,0.25
Session_ID_166,0,20,14.0,0,3.0,0,0,3,0,0,1,1,0.0,0.0
Session_ID_167,0,13,8.0,0,1.0,0,1,1,0,2,1,1,0.0,0.14285714285714285
Session_ID_168,1,15,6.0,0,0.0,0,0,0,0,9,1,1,0.0,0.5625
Session_ID_169,0,11,0.0,0,0.0,1,1,1,0,1,0,0,0.5,0.08333333333333333
Session_ID_170,1,9,4.0,0,0.0,0,0,1,0,1,1,1,0.0,0.1
Session_ID_171,0,15,2.0,0,1.0,1,1,2,0,7,0,0,0.5,0.4375
Session_ID_172,0,55,0.0,0,29.0,0,3,14,0,0,0,1,0.0,0.0
Session_ID_173,0,7,0.0,0,2.0,0,1,2,0,2,0,1,0.0,0.25
Session_ID_174,0,6,0.0,0,2.0,0,1,2,0,1,0,1,0.0,0.14285714285714285
Session_ID_175,0,14,1.0,0,2.0,0,1,1,0,3,0,1,0.0,0.2
Session_ID_176,0,12,6.0,0,0.0,1,1,1,1,1,1,1,0.5,0.07692307692307693
Session_ID_177,0,23,2.0,3,4.0,0,4,1,1,8,2,1,0.0,0.3333333333333333
Session_ID_178,1,8,5.0,0,1.0,0,0,1,0,1,1,1,0.0,0.1111111111111111
Session_ID_179,0,14,3.0,1,5.0,0,2,0,0,3,1,1,0.0,0.2
Session_ID_180,0,15,10.0,0,1.0,0,0,1,0,2,1,1,0.0,0.125
Session_ID_181,0,13,1.0,0,0.0,0,2,4,1,5,0,1,0.0,0.35714285714285715
Session_ID_182,0,7,0.0,0,1.0,0,1,0,0,2,0,1,0.0,0.25
Session_ID_183,0,4,1.0,0,1.0,0,1,1,0,0,0,1,0.0,0.0
Session_ID_184,1,6,2.0,0,1.0,0,0,1,0,0,0,1,0.0,0.0
Session_ID_185,0,1,1.0,0,0.0,0,3,0,0,3,0,1,0.0,1.5
Session_ID_186,0,5,1.0,0,1.0,0,2,1,0,0,0,1,0.0,0.0
Session_ID_187,0,21,6.0,0,3.0,0,0,10,0,0,1,1,0.0,0.0
Session_ID_188,1,4,2.0,0,0.0,0,0,1,0,1,0,1,0.0,0.2
Session_ID_189,0,5,0.0,0,1.0,0,1,2,0,1,0,1,0.0,0.16666666666666666
Session_ID_190,0,4,0.0,0,1.0,0,1,1,0,1,0,1,0.0,0.2
Session_ID_191,0,9,1.0,0,0.0,0,1,5,0,0,0,1,0.0,0.0
Session_ID_192,0,1,0.0,0,0.0,0,0,3,0,6,0,1,0.0,3.0
Session_ID_193,0,41,12.0,3,3.0,0,4,1,1,13,2,1,0.0,0.30952380952380953
Session_ID_194,0,7,2.0,0,1.0,0,1,1,1,1,0,1,0.0,0.125
Session_ID_195,0,8,4.0,0,0.0,0,1,1,0,2,1,1,0.0,0.2222222222222222
Session_ID_196,1,18,6.0,0,2.0,0,0,1,0,7,1,1,0.0,0.3684210526315789
Session_ID_197,0,16,0.0,0,5.0,0,0,10,0,0,0,1,0.0,0.0
Session_ID_198,0,18,0.0,0,3.0,0,1,2,0,3,0,1,0.0,0.15789473684210525
Session_ID_199,0,2,0.0,0,0.0,0,1,1,0,0,0,1,0.0,0.0
Session_ID_200,0,5,1.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_201,0,30,4.0,0,4.0,0,3,2,1,15,1,1,0.0,0.4838709677419355
Session_ID_202,1,9,2.0,0,0.0,0,3,3,0,1,0,1,0.0,0.1
Session_ID_203,1,3,1.0,0,1.0,0,0,0,0,1,0,1,0.0,0.25
Session_ID_204,0,52,0.0,0,4.0,0,1,8,0,11,0,1,0.0,0.20754716981132076
Session_ID_205,0,5,1.0,0,0.0,0,1,0,0,3,0,1,0.0,0.5
Session_ID_206,0,23,10.0,0,1.0,0,1,2,0,9,1,1,0.0,0.375
Session_ID_207,0,8,1.0,0,0.0,1,2,3,0,1,0,0,0.3333333333333333,0.1111111111111111
Session_ID_208,0,108,3.0,0,1.0,1,1,2,0,4,1,0,0.5,0.03669724770642202
Session_ID_209,1,4,2.0,1,0.0,0,0,0,0,0,0,1,0.0,0.0
Session_ID_210,1,14,4.0,0,1.0,0,0,2,0,7,1,1,0.0,0.4666666666666667
Session_ID_211,0,10,0.0,0,1.0,0,1,1,0,1,0,1,0.0,0.09090909090909091
Session_ID_212,0,36,3.0,0,0.0,1,1,0,1,1,1,0,0.5,0.02702702702702703
Session_ID_213,1,10,2.0,3,0.0,1,1,0,0,3,2,0,0.5,0.2727272727272727
Session_ID_214,0,10,1.0,0,1.0,1,2,1,1,2,0,0,0.3333333333333333,0.18181818181818182
Session_ID_215,0,10,2.0,0,2.0,0,2,1,0,3,0,1,0.0,0.2727272727272727
Session_ID_216,1,21,4.0,0,3.0,0,2,2,1,3,1,1,0.0,0.13636363636363635
Session_ID_217,0,21,0.0,0,0.0,1,2,1,0,3,0,0,0.3333333333333333,0.13636363636363635
Session_ID_218,1,8,3.0,0,1.0,0,0,4,0,0,1,1,0.0,0.0
Session_ID_219,0,13,1.0,0,1.0,2,2,5,0,1,0,0,0.6666666666666666,0.07142857142857142
Session_ID_220,1,65,16.0,11,1.0,0,0,2,0,6,2,1,0.0,0.09090909090909091
Session_ID_221,0,6,3.0,0,1.0,0,0,2,0,0,1,1,0.0,0.0
Session_ID_222,0,9,5.0,0,1.0,0,0,1,0,1,1,1,0.0,0.1
Session_ID_223,0,5,1.0,0,1.0,0,0,1,0,1,0,1,0.0,0.16666666666666666
Session_ID_224,0,23,4.0,4,1.0,0,0,1,0,7,2,1,0.0,0.2916666666666667
Session_ID_225,0,41,10.0,1,4.0,0,1,3,1,12,1,1,0.0,0.2857142857142857
Session_ID_226,0,12,0.0,0,4.0,0,1,2,0,0,0,1,0.0,0.0
Session_ID_227,0,7,0.0,0,2.0,0,1,2,0,1,0,1,0.0,0.125
Session_ID_228,0,12,8.0,0,0.0,0,1,1,0,2,1,1,0.0,0.15384615384615385
Session_ID_229,1,3,1.0,0,1.0,0,0,1,0,0,0,1,0.0,0.0
Session_ID_230,1,91,16.0,7,11.0,0,4,5,2,8,2,1,0.0,0.08695652173913043
Session_ID_231,1,18,8.0,0,1.0,0,1,3,0,0,1,1,0.0,0.0
Session_ID_232,1,16,9.0,0,0.0,0,0,1,0,4,1,1,0.0,0.23529411764705882
Session_ID_233,1,4,1.0,0,1.0,0,0,1,0,0,0,1,0.0,0.0
Session_ID_234,0,57,5.0,40,1.0,1,1,2,1,1,2,0,0.5,0.017241379310344827
Session_ID_235,0,27,13.0,0,1.0,0,1,2,0,9,1,1,0.0,0.32142857142857145
Session_ID_236,0,15,0.0,0,1.0,0,1,1,0,3,0,1,0.0,0.1875
Session_ID_237,1,3,1.0,0,1.0,0,0,1,0,0,0,1,0.0,0.0
Session_ID_238,0,10,0.0,0,9.0,0,0,0,0,1,0,1,0.0,0.09090909090909091
Session_ID_239,0,8,3.0,0,1.0,0,1,1,0,2,1,1,0.0,0.2222222222222222
Session_ID_240,1,7,3.0,0,1.0,0,0,0,0,3,1,1,0.0,0.375
Session_ID_241,0,12,3.0,0,3.0,2,1,3,0,0,1,0,1.0,0.0
Session_ID_242,1,38,3.0,32,1.0,0,0,1,0,1,2,1,0.0,0.02564102564102564
Session_ID_243,0,7,1.0,0,0.0,0,0,1,0,3,0,1,0.0,0.375
Session_ID_244,0,15,4.0,0,1.0,1,1,1,1,1,1,1,0.5,0.0625
Session_ID_245,1,9,5.0,0,1.0,0,0,1,0,1,1,1,0.0,0.1
Session_ID_246,0,23,1.0,1,1.0,0,0,10,0,10,0,1,0.0,0.4166666666666667
Session_ID_247,1,6,2.0,0,0.0,0,0,2,0,2,0,1,0.0,0.2857142857142857
Session_ID_248,1,11,0.0,0,0.0,0,0,1,0,2,0,1,0.0,0.16666666666666666
Session_ID_249,1,16,4.0,1,1.0,0,4,0,0,6,1,1,0.0,0.35294117647058826
Session_ID_250,0,22,3.0,3,7.0,1,3,1,1,3,2,0,0.25,0.13043478260869565
Session_ID_251,0,6,0.0,0,1.0,0,2,3,0,0,0,1,0.0,0.0
Session_ID_252,1,15,6.0,2,0.0,0,1,2,0,3,2,1,0.0,0.1875
Session_ID_253,0,65,30.0,11,5.0,0,3,3,1,11,2,1,0.0,0.16666666666666666
Session_ID_254,0,29,10.0,4,1.0,0,1,2,1,8,2,1,0.0,0.26666666666666666
Session_ID_255,0,10,1.0,2,1.0,1,2,0,1,2,0,0,0.3333333333333333,0.18181818181818182
Session_ID_256,1,14,5.0,0,1.0,0,0,3,0,1,1,1,0.0,0.06666666666666667
Session_ID_257,0,30,13.0,6,3.0,0,0,3,0,2,2,1,0.0,0.06451612903225806
Session_ID_258,0,6,1.0,0,0.0,0,1,2,0,1,0,1,0.0,0.14285714285714285
Session_ID_259,0,28,0.0,0,3.0,0,2,1,0,7,0,1,0.0,0.2413793103448276
Session_ID_260,1,17,7.0,2,2.0,0,1,2,0,2,2,1,0.0,0.1111111111111111
Session_ID_261,1,15,5.0,0,1.0,0,0,8,0,0,1,1,0.0,0.0
Session_ID_262,0,7,1.0,0,1.0,0,0,4,0,1,0,1,0.0,0.125
Session_ID_263,0,15,2.0,0,0.0,1,3,1,1,5,0,0,0.25,0.3125
Session_ID_264,0,9,3.0,0,1.0,0,1,1,1,2,1,1,0.0,0.2
Session_ID_265,1,25,11.0,0,0.0,0,1,4,0,3,1,1,0.0,0.11538461538461539
Session_ID_266,0,5,1.0,0,0.0,0,1,2,0,1,0,1,0.0,0.16666666666666666
Session_ID_267,1,6,1.0,2,2.0,0,0,0,0,1,0,1,0.0,0.14285714285714285
Session_ID_268,1,8,1.0,0,0.0,0,0,2,0,2,0,1,0.0,0.2222222222222222
Session_ID_269,0,11,1.0,0,0.0,0,2,6,0,2,0,1,0.0,0.16666666666666666
Session_ID_270,0,5,0.0,0,1.0,0,1,0,0,2,0,1,0.0,0.3333333333333333
Session_ID_271,0,9,0.0,0,3.0,1,2,0,0,3,0,0,0.3333333333333333,0.3
Session_ID_272,0,5,1.0,0,0.0,0,1,1,0,2,0,1,0.0,0.3333333333333333
Session_ID_273,0,32,5.0,1,6.0,2,4,2,0,12,1,0,0.4,0.36363636363636365
Session_ID_274,0,12,5.0,0,1.0,1,1,1,1,1,1,0,0.5,0.07692307692307693
Session_ID_275,0,16,6.0,0,0.0,0,3,2,1,1,1,1,0.0,0.058823529411764705
Session_ID_276,1,9,1.0,0,1.0,0,1,2,0,3,0,1,0.0,0.3
Session_ID_277,1,16,1.0,0,1.0,0,0,4,0,9,0,1,0.0,0.5294117647058824
Session_ID_278,0,6,1.0,0,2.0,0,1,0,0,2,0,1,0.0,0.2857142857142857
Session_ID_279,0,11,6.0,0,1.0,0,1,1,0,2,1,1,0.0,0.16666666666666666
Session_ID_280,0,23,7.0,3,2.0,0,0,0,0,0,2,1,0.0,0.0
Session_ID_281,0,8,0.0,0,0.0,0,2,2,0,2,0,1,0.0,0.2222222222222222
Session_ID_282,1,7,2.0,0,1.0,0,0,1,0,0,0,1,0.0,0.0
Session_ID_283,0,3,0.0,0,0.0,0,1,0,0,2,0,1,0.0,0.5
Session_ID_284,1,4,1.0,0,0.0,0,0,1,0,1,0,1,0.0,0.2
Session_ID_285,0,43,7.0,0,1.0,0,0,3,0,5,1,1,0.0,0.11363636363636363
Session_ID_286,0,9,3.0,0,2.0,0,1,1,0,1,1,1,0.0,0.1
Session_ID_287,0,7,1.0,1,2.0,0,1,0,0,2,0,1,0.0,0.25
Session_ID_288,1,30,10.0,0,2.0,0,0,12,0,2,1,1,0.0,0.06451612903225806
Session_ID_289,0,12,4.0,0,0.0,0,0,1,0,5,1,1,0.0,0.38461538461538464
